,pdf_name,page,id,legible_name,Legal_Issues,Facts,Arguments,judges,petitioners,respondant
472,Bennett_Coleman_Co_Ors_vs_Union_Of_India_Ors_on_30_October_1972.PDF,1,da420cbb-970a-41cb-80f6-e70e76fe1523,Bennett Coleman Co Ors vs Union Of India Ors on 30 October 1972.PDF,"The legal issue in the case revolves around the fundamental right of freedom of speech and expression, particularly in relation to restrictions imposed by governmental orders or policies. The case discusses the conflict between the freedom of the press and certain orders or policies that may impede the exercise of this fundamental right. It delves into the question of whether certain restrictions, even if not explicitly defined as ""law,"" can still curtail the exercise of fundamental rights guaranteed by the Constitution.

The case highlights the importance of differentiating between policies or orders that have the force of law and those that do not. It emphasizes that policies or orders, even if not formal laws, can still be justiciable if they significantly impact the exercise of fundamental rights. The discussion in the case focuses on the need to ensure that any restrictions imposed, whether through formal laws or other means, do not unduly infringe upon the freedom of speech and expression, especially in the context of the press.

Furthermore, the case underscores the critical role of the press as a pillar of democracy and emphasizes the need to safeguard the freedom of the press as a means of upholding popular sovereignty and ensuring transparency in governance. It stresses that any restrictions that hinder the press from fulfilling its role as a watchdog and a platform for public opinion need to be carefully scrutinized to prevent the erosion of fundamental rights.

In essence, the legal issue in the case revolves around the balance between governmental actions, policies, or orders and the protection of fundamental rights, particularly the freedom of speech and expression, with a specific focus on the implications for the press and its role in a democratic society.","1. The case involves a challenge to the ""Newsprint Policy"" by Bennett Coleman & Co. and others against the Union of India and others.
2. The petitioners argued that the policy interfered with their fundamental rights and should be considered as having the force of law.
3. The petitioners contended that the restrictions imposed by the Newsprint Policy were causing heavy losses and could potentially lead to them ceasing their business operations.
4. The case emphasizes the importance of Freedom of the Press as a crucial pillar of a government ""of the people, by the people, and for the people.""
5. The court discussed previous cases related to freedom of speech and expression, highlighting the principles established in those cases.","1. The argument that any restriction on freedom of speech due to newsprint rationing does not directly abridge freedom of speech.
2. The contention that the Newsprint Policy violates Article 14 of the Constitution by treating unequals equally in the distribution of newsprint.
3. Discussion on the criteria for distributing material resources in a community, focusing on numerical equality and proportional equality.
4. Reference to the departure from traditional notions of equality by the U.S. Supreme Court in cases like Griffin v. Illinois and Douglas v. California.
5. Mention of Justice Harlan's dissent emphasizing the shift towards a more dynamic concept of equality.
6. Questioning whether Article 14 only prohibits the creation of inequalities by the State or also commands the elimination of existing inequalities.
7. Comparison with U.S. cases under the equal protection clause to address the issue of eliminating pre-existing inequalities.","1. S.M. Sikri (CJ)
2. A.N. Ray
3. P. Jaganmohan Reddy
4. Kuttyil Kurien Mathew
5. M. Hameedullah Beg",Bennett Coleman & Co. & Ors.,Union of India & Ors.
537,Bhikaji_Narain_Dhakras_And_Others_vs_The_State_Of_Madhya_Pradesh_And_Another_on_29_September_1955.PDF,1,12100c66-aeef-4828-a668-6519c31128b1,Bhikaji Narain Dhakras And Others vs The State Of Madhya Pradesh And Another on 29 September 1955.PDF,"The legal issue in the case revolves around the effect of the Constitution on existing laws that were in place before the Constitution came into force. Specifically, the case discusses the impact of Article 13(1) of the Constitution on laws that were inconsistent with the fundamental rights guaranteed under Part III of the Constitution.

The main question at hand is whether an existing law that became void due to its inconsistency with the fundamental rights guaranteed by the Constitution can be revived or made operative again by a subsequent constitutional amendment that removes the initial constitutional objection. The debate centers on whether the void law can regain legal force without being re-enacted after the constitutional amendment addresses the inconsistency.

The respondents argue that after a constitutional amendment removes the inconsistency, the previously void law can become operative again, even against citizens. On the other hand, the petitioners contend that a law that became void due to unconstitutionality remains dead and cannot be revived by a subsequent constitutional amendment unless it is re-enacted.

This legal issue requires a thorough examination of the interpretation of Article 13 of the Constitution, particularly the meaning of the term ""void"" as established in previous court decisions. The case delves into whether the amended clause (6) of Article 19 can have a retrospective effect on laws that were initially rendered void due to inconsistency with fundamental rights.

In essence, the legal issue in the case involves determining the effect of a constitutional amendment on laws that were invalidated for being inconsistent with the Constitution, and whether such laws can regain legal validity without being re-enacted after the constitutional objection is removed.","1. The impugned Act was an existing law at the time when the Constitution came into force.
2. This existing law imposed restrictions on the exercise of the right guaranteed by article 19(1)(g) to the citizens of India.
3. These restrictions could not be justified as reasonable under clause (6) as it then stood.
4. Consequently, under article 13(1), the existing law became void ""to the extent of such inconsistency"".
5. The law became void only to the extent it became inconsistent with the provisions of Part III of the Constitution which conferred fundamental rights.
6. The existing law did not become void independently of the existence of the rights guaranteed by Part III.
7. The impugned law continued in force for past transactions and enforcement of rights and liabilities accrued before the date of the Constitution.
8. Article 13(1) nullified or rendered the existing law, which had become inconsistent with fundamental rights, ineffectual only with respect to the exercise of fundamental rights after the Constitution came into force.","1. The petitioners challenged the constitutional validity of the C.P. & Berar Motor Vehicles (Amendment) Act, 1947 (Act III of 1948).
2. The impugned Act conferred extensive powers related to motor vehicles, which the petitioners contested.
3. The petitioners argued that the impugned Act was in conflict with certain provisions of the Government of India Act, 1935.
4. They also raised a question regarding the invalidity of the impugned Act even before the advent of the Constitution.
5. The Federal Court's interpretation of the word ""acquisition"" in section 299 of the Government of India Act, 1935 was cited to support their argument.
6. The petitioners contended that the impugned Act's constitutionality should be challenged based on historical legal interpretations.","1. Sudhi Ranjan Das
2. Natwarlal H. Bhagwati
3. T.L. Venkatarama Ayyar
4. Syed Jaffer Imam
5. N. Chandrasekhara Aiyar",Bhikaji Narain Dhakras and others,The State of Madhya Pradesh and Another
547,Bijoe_Emmanuel_Ors_vs_State_Of_Kerala_Ors_on_11_August_1986.PDF,1,a7f3e5e4-f13f-4a21-953d-42243e130056,Bijoe Emmanuel Ors vs State Of Kerala Ors on 11 August 1986.PDF,"The legal issue in the case revolves around the Fundamental Right to freedom of conscience and the right to profess, practice, and propagate religion as guaranteed by Article 25 of the Constitution. The issue at hand is whether the actions complained of as infringing this Fundamental Right are justified under certain conditions outlined in the Constitution. These conditions include considerations such as public order, morality, and health, as well as the State's authority to make laws regulating or restricting secular activities associated with religious practices for social welfare and reform.

Furthermore, the case delves into the responsibility of the court to determine whether a particular law infringes on religious freedom or if it is a law intended to protect the existence of the community. The court is tasked with interpreting and applying the guarantee of religious freedom to limit the legislative sphere of action and ensure the validity of laws that may affect this Fundamental Right.

In essence, the legal issue in the case involves balancing the Fundamental Right to freedom of conscience and religion with the State's authority to regulate activities associated with religious practices for the greater good of public order, morality, and social welfare.","1. The petitioners are Jehovah's Witnesses who hold strong religious beliefs.
2. Jehovah's Witnesses believe in the literal interpretation of the Bible and consider God, Jehovah, as the Supreme ruler of the universe.
3. They believe that Satan rebelled against God and rules the world through various organized bodies.
4. Jehovah's Witnesses refuse to participate in activities like voting, running for public office, serving in armed forces, saluting the flag, standing for the National Anthem, or reciting the pledge of allegiance.
5. Their religious beliefs have led to clashes with governments, resulting in legal battles, violence, imprisonment, and even death.
6. The case involves a dispute over the compulsory flag salute and singing of the national anthem in schools, where Jehovah's Witnesses objected on religious grounds.","1. The case involved a dispute regarding the compulsory flag salute and pledge in schools.
2. Justice Jackson argued against interference with individual liberties by the school board.
3. The appellants consistently stood respectfully during the National Anthem.
4. The court considered the violation of Fundamental Rights under Art. 19(1)(a) and 25(1).
5. The judgment favored the appellants, directing their re-admission to school without hindrance.
6. The importance of tolerance in tradition, philosophy, and constitution was emphasized in the decision.","O. Chinnappa Reddy, M.M. Dutt",Bijoe Emmanuel & Ors.,State of Kerala & Ors.
564,Board_Of_Control_For_Cricket_vs_Cricket_Aasociation_Of_Bihar_Ors_on_18_July_2016.PDF,1,690f8030-47e8-48f0-924b-528b8012578d,Board Of Control For Cricket vs Cricket Aasociation Of Bihar Ors on 18 July 2016.PDF,"The legal issue in the case revolves around the interpretation of Article 19(1)(c) of the Indian Constitution and its applicability to non-citizens, specifically to entities like corporations or companies. The case discusses whether the right to form associations, unions, or cooperative societies guaranteed under Article 19(1)(c) is restricted to citizens only or if it can be extended to non-citizens such as corporations or companies.

The court deliberates on the concept of lifting the corporate veil to determine whether the actions of a corporation should be considered as actions of its shareholders, who are citizens, thereby potentially allowing the corporation to invoke the rights granted to citizens under Article 19(1)(c). However, the court ultimately concludes that the rights under Article 19(1)(c) are specifically guaranteed to citizens and not to non-citizens like corporations or companies. The court emphasizes that if the Constitution intended to grant these rights to corporations, it would have explicitly included them in the definition of ""citizen"" in the Citizenship Act.

Furthermore, the court highlights that the doctrine of lifting the corporate veil cannot be used to extend the rights of citizens to corporations, as it would go against the legislative intent and the clear distinction made in the Constitution between citizens and non-citizens. Therefore, the legal issue at hand is whether non-citizens, such as corporations, can claim the rights provided under Article 19(1)(c) of the Indian Constitution by invoking the doctrine of lifting the corporate veil, which the court ultimately rejects in this case.","1. The Committee identified deep-rooted issues within the Board of Control for Cricket in India (BCCI) regarding its functioning.
2. The Committee made recommendations for reforms after thorough deliberations to address the malaise within the BCCI.
3. The BCCI and State Cricket Associations did not challenge the findings of the Committee regarding the issues within the BCCI.
4. The BCCI raised concerns about the recommendations affecting the rights of citizens forming State Cricket Associations, but the court did not find merit in these arguments.
5. The BCCI implemented measures to prevent match-fixing and spot-fixing, including engaging agencies for financial due diligence and requesting the establishment of a sports integrity intelligence unit.
6. Changes were made to decentralize powers within the BCCI, removing the President's independent vote at General Meetings and changing the process for deciding disputes.","1. The BCCI and State Cricket Associations argued that the recommendations made by the Committee could adversely affect citizens who have formed State associations, suggesting that the court could intervene to protect the rights of these citizens.
2. The court rejected this argument, stating that no citizen had come forward to complain about a violation of their fundamental rights under Article 19(1)(c) of the Constitution.
3. The court emphasized that the recommendations did not impact the composition of the State Cricket Associations in any significant way.
4. It was argued that the corporations or companies involved in the case should be allowed to file petitions under Article 32 by lifting the veil of incorporation, but the court disagreed, citing that Article 19 rights are guaranteed only to citizens and not to corporations.
5. The court highlighted that the intention of the Constitution was to provide Article 19 rights exclusively to citizens, and not to extend these rights to corporations or companies.
6. The argument that corporations should be treated as associations of shareholders and allowed to file petitions under Article 32 was not accepted by the court.","1. Fakkir Mohamed Ibrahim Kalifulla
2. T.S. Thakur",Board of Control for Cricket,"1. Cricket Association of Bihar
2. Cricket Association of Bihar President
3. Bihar Cricket Association Members"
612,Chintaman_Rao_vs_The_State_Of_Madhya_Pradeshram_on_8_November_1950.PDF,1,4ff80ebf-3b99-4403-82e1-8473f2a1ce06,Chintaman Rao vs The State Of Madhya Pradeshram on 8 November 1950.PDF,"The legal issue in the case revolves around determining whether the provisions of the Central Provinces and Berar Act LXIV of 1948 impose reasonable restrictions on the fundamental right to freedom of occupation and business, as guaranteed under article 19 (1) (g) of the Constitution. The Act empowers the Deputy Commissioner to prohibit the manufacture of bidis during the agricultural season, with penalties for contravention. The question at hand is whether this total prohibition on engaging in the business of manufacturing bidis during the agricultural season constitutes a reasonable restriction on the fundamental rights of individuals.

The contention is that the Act, under the guise of protecting public interests, interferes arbitrarily with private business and imposes unnecessarily restrictive regulations on lawful occupation. The argument is centered on whether the Act strikes a proper balance between the freedom guaranteed under article 19 (1) (g) and the social control permitted by clause (6) of article 19. The term ""reasonable restriction"" implies that any limitation imposed on a person's enjoyment of a right should not be arbitrary or excessive, but should be in the interest of the public.

The Act's provisions are scrutinized to determine if they have a reasonable relation to the intended purpose. It is argued that the Act suspends the right to freedom of occupation and business during the agricultural seasons, potentially leading to the ruin of the industry. While restrictions on employment of agricultural labor in bidi manufacturing during the agricultural season could be reasonable, a complete stoppage of the business is deemed excessive and lacking in reasonableness.

In essence, the legal issue in the case is whether the Act's provisions, particularly the total prohibition on bidi manufacturing during the agricultural season, amount to a reasonable restriction on the fundamental rights of individuals as outlined in the Constitution. The court is tasked with evaluating whether the Act's interference with private business is justified by the public interest it seeks to protect and whether it maintains a proper balance between individual freedoms and social control.","1. The impugned Act aimed to provide measures for the supply of adequate labor for agricultural purposes in bidi manufacturing areas.
2. Sections 3 and 4 of the Act empowered the Deputy Commissioner to prohibit the manufacture of bidis during the agricultural season, with penalties for contravention.
3. The Act was enacted to support the ""grow more food"" campaign and bring fallow land under cultivation.
4. The contention was that the Act imposed unreasonable and unnecessarily restrictive regulations on lawful occupation by prohibiting the manufacture of bidis during the agricultural season.
5. The question was whether the total prohibition on the business of manufacturing bidis during the agricultural season constituted a reasonable restriction on the fundamental rights under article 19(1)(g) of the Constitution.
6. The argument was made that the Act's provisions did not have a reasonable relation to the stated purpose and thus could not curtail the freedom of occupation and business guaranteed under the Constitution.
7. The Act was criticized for suspending the right to freedom of occupation and business during agricultural seasons, potentially leading to the ruin of the industry, instead of regulating it in a reasonable manner.
8. The Act was found to be arbitrary and excessive in its interference with private business, lacking the quality of reasonableness required for restrictions on fundamental rights.
9. The Supreme Court held that the impugned statute did not pass the test of reasonableness and was therefore deemed void, emphasizing the Court's role in safeguarding constitutional rights.","1. The impugned Act does not impose reasonable restrictions on the exercise of the fundamental right in the interests of the general public.
2. The provisions of the Act are in excess of the requirements of the case and the language employed is overly restrictive.
3. The Act prohibits manufacturers of bidis from employing any person in their business, regardless of where the person resides, which is deemed arbitrary.
4. The statute prohibits all persons residing in notified villages during the agricultural season from engaging in the manufacture of bidis, affecting various individuals incapable of agricultural labor.
5. The law restricts individuals from engaging in the bidi business, even if they have no connection to agricultural operations, thereby depriving them of earning their livelihood.
6. The argument that the legislature of Madhya Pradesh was the proper judge of the reasonableness of the restrictions imposed by the statute is countered, stating that the determination of reasonable restrictions is subject to the supervision of the Supreme Court.
7. The impugned statute is deemed unreasonable and void as it fails to meet the test of reasonableness in restricting fundamental rights guaranteed by the Constitution.","1. Mehr Chand Mahajan
2. Hiralal J. Kania
3. B.K. Mukherjea
4. N. Chandrasekhara Aiyar",Chintaman Rao,THE STATE OF MADHYA PRADESH
619,Dr_Janet_Jeyapaul_vs_Srm_University_And_Anr_on_15_December_2015.PDF,1,9343d613-7aae-433b-8a96-03bbacf86f65,Dr Janet Jeyapaul vs Srm University And Anr on 15 December 2015.PDF,"The legal issue in the case revolves around whether a Trust, which is not a statutory body, can be subjected to the writ jurisdiction of the High Court. The Trust argued that since it is not a statutory body, it cannot be subjected to the writ jurisdiction. However, the High Court accepted the writ petition and issued mandamus directing the Trust to make payments towards the employee's claims. The Trust then appealed to the Court, leading to a detailed examination of the legal issue. Ultimately, the Court agreed with the High Court's decision and held that the Trust, despite not being a statutory body, can indeed be subjected to the writ jurisdiction of the High Court under Article 226 of the Constitution.","1. The appellant filed a writ petition against respondent No.1 in the High Court.
2. The Division Bench of the High Court allowed the appeal filed by respondent No.1, stating that the writ petition was not maintainable as respondent No.1 was neither considered a State nor an authority under Article 12 of the Constitution.
3. The Division Bench did not review the merits of the case presented by the appellant before the Single Judge but directed the appellant to seek recourse through the Tribunal.
4. The appellant, dissatisfied with the judgment, appealed to the Court seeking special leave.
5. During the proceedings, the Court requested legal assistance from Mr. Harish Salve, who provided valuable insights and assistance.
6. Mr. Harish Salve emphasized the importance of examining whether a body/organization is formed to fulfill public functions or duties when determining if a writ under Article 226 of the Constitution can be issued against them.","1. The appellant argued that the test to determine if a writ lies under Article 226 of the Constitution against any entity is to examine the purpose for which the entity is formed and the activities it undertakes to fulfill that purpose.
2. The appellant cited various English commentaries and legal precedents to support the argument that the Court should assess whether the entity in question is formed for discharging a ""public function"" or ""public duty"" and if it is actually engaged in such activities.
3. The appellant contended that the respondent, a Deemed University, is engaged in imparting higher education to students, thereby discharging a public function. As a Deemed University under the UGC Act, it is considered an ""authority"" under Article 12 of the Constitution and is subject to writ jurisdiction under Article 226.
4. The appellant disagreed with the Division Bench's finding that the writ petition against the respondent was not maintainable, arguing that the respondent's activities clearly fall within the realm of public function and duty.
5. The appellant also opposed the suggestion to have the case referred to a Tribunal, as the Single Judge had already allowed the writ petition on merits, while the Division Bench had not examined the merits due to the maintainability issue.
6. Ultimately, the appellant requested the case to be remanded to the Division Bench of the High Court to decide the respondent's appeal on merits regarding the justification of allowing the writ petition.","Abhay Manohar Sapre, J. Chelameswar",Dr. Janet Jeyapaul,SRM University & Ors.
628,Foundation_For_Media_Professionals_vs_Union_Territory_Of_Jammu_And_Kashmir_on_11_May_2020.PDF,1,52928043-fd1d-4a3a-b8ac-a1188c13d10a,Foundation For Media Professionals vs Union Territory Of Jammu And Kashmir on 11 May 2020.PDF,"The legal issue in the case revolves around the balance between fundamental rights of citizens and national security concerns in the Union Territory of Jammu and Kashmir. The court is tasked with determining the necessity of continuing restrictions on internet access in the region due to concerns such as ongoing terrorist activities and national security threats. The key question is how to ensure that citizens' rights are upheld while addressing the security challenges faced in the region. The formation of a Special Committee comprising national and state level secretaries aims to examine the contentions presented by both petitioners and respondents, evaluate the appropriateness of suggested alternatives, and advise on the continuation or modification of the restrictions. The court's focus is on delicately balancing the need for security measures with the protection of citizens' rights in a complex and sensitive environment like Jammu and Kashmir.","1. The Union Territory of Jammu and Kashmir is facing a grave and volatile situation, with recent terrorist activities in the Kupwara District.
2. The authorities have implemented restrictions on internet usage to prevent misuse, which they claim are reasonable measures.
3. Respondent No. 1 submitted a note highlighting recent terrorist activities and interest from the Pakistani military in the region.
4. The court emphasized the need to balance fundamental rights of citizens with national security concerns.
5. A Special Committee was constituted to assess the necessity of continuing internet restrictions in Jammu and Kashmir, considering both state and national level perspectives.
6. The Special Committee was tasked with examining contentions from both petitioners and respondents, as well as considering alternatives suggested by the petitioners regarding limited restrictions and trial basis for faster internet in certain areas.
7. The writ petitions were disposed of based on the terms mentioned, with pending applications also being resolved.","1. The Petitioners argue that the restriction of mobile internet speed to 2G in the Union Territory of Jammu and Kashmir impacts various fundamental rights such as the right to health, education, business, and freedom of speech and expression.
2. They contend that access to high-speed internet is crucial during the COVID-19 pandemic for accessing medical services, information on containment strategies, and online educational content.
3. The Petitioners highlight that the restrictions on internet speed hinder students in Jammu and Kashmir from utilizing e-learning services like online classes, impacting their education and preparation for national/competitive exams.
4. The Petitioners also emphasize that the denial of effective and speedy internet not only violates the right to receive information but also denies the right to health, particularly during a health crisis like the pandemic.","B.R. Gavai, R. Subhash Reddy, N.V. Ramana","1. Foundation For Media Professionals
2. Soayib Qureshi
3. Private Schools Association Jammu and Kashmir",UNION TERRITORY OF JAMMU AND KASHMIR
637,G_Bassi_Reddy_vs_International_Crops_Research_Instt_on_14_February_2003.PDF,1,3b90b650-475e-44dd-a7e1-42f5965df27a,G Bassi Reddy vs International Crops Research Instt on 14 February 2003.PDF,"The legal issue in the case revolves around the grant of immunity from legal process to the International Crops Research Institute for the Semi-Arid Tropics (ICRISAT) under the 1947 Act. The appellant argues that the Union of India could not have granted such immunity to ICRISAT and that even if immunity was granted, it should not curtail the Court's constitutional power under Article 226. The appellant contends that without such immunity, a writ could be issued to ICRISAT. However, the court's perspective is that since no writ would lie against ICRISAT, the questions regarding the grant of immunity and its impact on remedies under Article 226 do not arise.

Furthermore, the Union of India and ICRISAT argue that the notification granting immunity was issued in accordance with the March agreement between the Government and CGIAR, and that ICRISAT is not subject to the Court's jurisdiction under Article 226 as it is not a government entity and is not financially or administratively controlled by the government. They also assert that the actions taken against the appellants were in line with the procedural rules set by ICRISAT and were fair under the Industrial Employment (Standing) Orders, 1946.

In essence, the legal issue at hand involves the interpretation of the grant of immunity to ICRISAT, the applicability of Article 226 in this scenario, and the adherence to procedural fairness and domestic laws in the actions taken against the appellants.","1. An application for mandamus was deemed inappropriate for reinstatement to a private office or to enforce obligations owed by a company to its employees.
2. The writ petition filed against ICRISAT was considered not maintainable by the High Court.
3. The prayer for the Union of India to fulfill a clause in an agreement was found unsustainable as it was essentially against ICRISAT.
4. The agreement between the Indian Government and ICRISAT was questioned for its enforceability in domestic courts.
5. The case cited regarding the Narcotics Drugs and Psychotropic Substances Act highlighted the importance of constitutional principles in international obligations.
6. The Personnel Policy Statement of ICRISAT was found to align with the March agreement's clause on internal discipline.
7. The court dismissed the appeals without any order as to costs, stating that the appellant's legal rights were not infringed as the relationship between the parties was contractual in nature.
8. The court emphasized the need for harmonious construction of fundamental rights and directive principles of State policy under the Constitution.
9. The jurisdiction of civil courts may be excluded by statute, but the High Court or Supreme Court can still issue higher prerogative writs.
10. Parliament has the power to make laws for implementing international agreements under Article 253 of the Constitution.","1. Mandamus application not applicable for reinstatement in private offices or to resolve private disputes.
2. Writ petition against Union of India seeking action on March agreement deemed unsustainable.
3. Doubt on enforceability of agreement between Indian Government and ICRISAT in domestic courts.
4. Comparison with a case involving international obligations under the United Nations Convention.
5. Dismissal of appeals without costs as no infringement of legal rights found.
6. Assertion that writ petition under Article 226 cannot extend beyond matters related to organization functions.
7. Arguments against immunity granted to ICRISAT under the 1947 Act.
8. Union of India's stance on inability to unilaterally change terms of agreement with CGIAR.
9. ICRISAT's support of Union of India's position and claim of fair procedural rules adherence.
10. Discussion on whether a writ could be issued against ICRISAT and the implications of immunity on judicial review.
11. Clarification that a writ under Article 226 only lies when fundamental or legal rights are infringed.","Ruma Pal, B.N. Srikrishna",G. Bassi Reddy,International Crops Research Instt. & Anr.
649,Gulshan_vs_State_Of_Haryana_on_25_November_2010.PDF,1,201503ee-f37b-41d4-9767-65e744d610e5,Gulshan vs State Of Haryana on 25 November 2010.PDF,"The legal issue in the case revolves around allegations of embezzlement and fraudulent activities related to a land transaction. The accused is suspected of obtaining a significant amount of money through a sale deed by fraudulent means, including false signatures on documents and manipulating land ownership records. Additionally, there are concerns regarding the authenticity of mutations and discrepancies in the ownership details of the land involved in the transaction.

Furthermore, the case involves the addition of an offense under Section 13(1)(d) of the Act, which likely pertains to the Prevention of Corruption Act or a similar legislation. This addition of offense indicates that there are suspicions of corruption or illegal activities involving public officials in the process.

The court is considering the seriousness of the allegations, the need for custodial interrogation to uncover the truth behind the sequence of events, and the importance of effective investigation to reveal all relevant facts and circumstances. The legal issue at hand is the need to thoroughly investigate the alleged embezzlement, fraudulent transactions, and potential corruption involving the accused individual in order to establish the truth and ensure justice is served.","1. 15 acres of land was sold to Ravi Sharma by the accused for a total of `45 lacs, with `30 lacs paid by cheque and `15 lacs in cash.
2. The accused allegedly embezzled the cash amount received from the sale.
3. A false mutation (No.4227) was prepared in favor of Ravi Sharma with forged signatures of the Patwari.
4. The false mutation had previously been sanctioned in favor of Manoj Kumar by another Patwari, Gulshan Kumar.
5. The accused joined the investigation and was granted bail, but further custody was deemed necessary to unearth the facts due to the addition of an offense under Section 13(1)(d) of the Act.
6. The court highlighted the seriousness of the allegations against the petitioner related to the land transactions and mutations.","1. The petitioner's counsel argues that the petitioner had been granted anticipatory bail previously and had cooperated with the investigation, making custodial interrogation unnecessary.
2. The petitioner's defense includes the claim that false allegations were made against him regarding obtaining money from co-accused and sanctioning false mutations, pointing out that he was not the Patwari at the time these actions were alleged to have taken place.
3. The State's counsel contends that custodial interrogation of the petitioner is essential for the investigation, citing instances where the petitioner allegedly manipulated revenue records and mutations even when he was not the Patwari.
4. The State emphasizes the seriousness of the allegations against the petitioner, highlighting instances where land transactions were allegedly tampered with and revenue records were forged.
5. The State also mentions that the petitioner's handwriting samples matched those on documents related to the case, even for the period when he was not officially the Patwari, indicating his involvement in fraudulent activities.",S.S. Saron,Gulshan Kumar,State of Haryana
654,Hon'Ble_Shri_Ranganath_Mishra_vs_Union_Of_India_And_Ors_on_31_July_2003.PDF,1,9e867851-d44f-4974-91e9-159039988c23,Hon'Ble Shri Ranganath Mishra vs Union Of India And Ors on 31 July 2003.PDF,"The legal issue in the case revolves around the enforcement of fundamental duties by citizens as outlined in the Constitution. The discussion emphasizes the need for legislation to ensure compliance with these duties and the importance of combining legal sanctions with social sanctions to encourage participation. The report suggests that education plays a crucial role in instilling a sense of obligation towards fundamental duties, and recommends sensitizing the public about these duties. The case directs the Central Government to consider the recommendations seriously and take steps for their implementation promptly. Overall, the legal issue pertains to the effective enforcement of fundamental duties through a combination of legal, social, and educational measures.","1. A report by the 'Justice J.S. Verma Committee' on operationalization of fundamental duties of citizens was accepted by the Constitution.
2. The report emphasized the importance of education beyond formal schooling, starting from birth and continuing throughout life.
3. The report highlighted the need for parents to play a crucial role in instilling values of tolerance, respect for all religions, and a sense of national pride in their children.
4. Recommendations included sensitizing people about fundamental duties, popularizing them, respecting rights of freedom of religion and minorities, reforming the education system, and emphasizing the duty to vote and participate in the democratic process.
5. The report suggested that education is key to instilling a sense of duty towards fellow citizens and the nation, aiming to make the country strong and respected globally.","1. The petitioner requested the Chief Justice of India to direct the State to educate citizens on fundamental duties to establish a balance between rights and duties.
2. The petition raised concerns about a previous court decision that needed reconsideration.
3. The National Commission recommended sensitizing people about fundamental duties, respecting freedom of religion and minority rights, reforming the education system, and emphasizing the duty to vote and participate in governance.
4. The Justice Verma Committee suggested ways to popularize fundamental duties, including involving parents in social activities, promoting tolerance and respect for all religions, and instilling a sense of obligation towards fellow citizens.","V.N. KHARE, K.G. BALAKRISHNAN, S.B. SINHA",HON'BLE SHRI RANGANATH MISHRA,UNION OF INDIA AND ORS.
657,I_R_Coelho_Dead_By_Lrs_vs_State_Of_Tamil_Nadu_Ors_on_11_January_2007.PDF,1,47441ff7-2598-41ac-8c0d-7fbccebea0ba,I R Coelho Dead By Lrs vs State Of Tamil Nadu Ors on 11 January 2007.PDF,"The legal issue in the case revolves around the interpretation and application of fundamental rights under Chapter III of the Constitution of India. Specifically, the issue concerns the abrogation or abridgment of fundamental rights and the extent to which the Parliament can amend the provisions of Part III to restrict or eliminate these rights. The case delves into the concept of the basic structure doctrine, which limits the Parliament's power to amend fundamental rights in a manner that violates the basic structure of the Constitution. Additionally, the case discusses the importance of judicial review in ensuring the constitutionality of laws and amendments that impact fundamental rights. The central legal issue is the balance between the Parliament's authority to amend fundamental rights and the protection of the basic structure of the Constitution, ensuring the preservation of individual rights and constitutional principles.","1. The case discusses the interpretation of Kesavananda Bharati's case regarding the issue of equality and violation of the basic structure of the Constitution.
2. It examines the extent of immunity provided by Article 31B and the implications of amendments made to add laws in the Ninth Schedule.
3. Various judges expressed opinions on the implied limitations on Parliament's power to amend the Constitution, particularly in relation to the basic structure doctrine.
4. The case clarifies that fundamental rights can be amended or taken away, but subject to the limitation of the basic structure doctrine.
5. It highlights the importance of judicial review in determining the constitutional validity of laws placed in the Ninth Schedule and the impact on fundamental rights.
6. The Parliament has the power to amend fundamental rights under Part III, but this power is constrained by the basic structure doctrine and requires examination in each individual case.","1. The unchecked and rampant exercise of power under Article 31B, with the number of laws increasing significantly, has led to the absence of constitutional control and the creation of parliamentary hegemony.
2. The absence of guidelines for the exercise of power under Article 31B results in the destruction of constitutional supremacy and limits the full power of judicial review to determine the constitutional validity of such exercises.
3. The contention that exclusion of judicial review under Article 31A does not necessarily make Ninth Schedule laws invalid, but the extent of power granted to the Legislature needs to be examined.
4. Article 31A and Article 31C provide standards for excluding laws from judicial review based on equitable distribution of resources and fundamental rights, emphasizing the special place fundamental rights hold in the Constitution.
5. The Parliament has the power to amend provisions of Part III to abridge or take away fundamental rights, but this power is subject to the limitation of the basic structure doctrine.
6. The impact of amendments on fundamental rights, such as freedom of the press, must be examined to ensure they do not violate the basic structure of the Constitution.
7. The principle that amendments violating the basic structure doctrine are liable to be struck down also applies to adding laws to the Ninth Schedule, as implied by Chief Justice Sikri and other judges in the case.","1. Y.K. Sabharwal
2. Ashok Bhan
3. Arijit Pasayat
4. B.P. Singh
5. S.H. Kapadia
6. C.K. Thakker
7. P.K. Balasubramanyan
8. Altamas Kabir
9. D.K. Jain",I.R. Coelho (Dead) by LRs,State of Tamil Nadu & Ors.
